"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000116748.21",0.0847090315669625,0.127189025212299,1.02929361834424,0.0494202531330252,0.824075164292934,NA,"AMPD1","270"
"ENSG00000078549.14",0.0316161322830697,0.162114831767727,1.02929361834424,0.0494164441464022,0.824081833041461,NA,"ADCYAP1R1","117"
"ENSG00000005961.19",22.1861070999164,0.0203062869591175,0.0869275239930496,0.0493944681350627,0.824120313764524,0.915377030414621,"ITGA2B","3674"
"ENSG00000162188.6",0.190943572602318,-0.104304344831921,0.712118741124657,0.0493523971979073,0.824194006435279,NA,"GNG3","2785"
"ENSG00000196569.12",0.323144554112107,-0.0993705777292406,0.521346388962216,0.0493496452773954,0.824198827927174,NA,"LAMA2","3908"
"ENSG00000132164.10",1.57273680696206,0.0453612447240628,0.201518381591006,0.0492990754085838,0.824287453800516,0.915475161127532,"SLC6A11","6538"
"ENSG00000122375.12",0.0497192580510656,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"OPN4","94233"
"ENSG00000158764.7",0.0497192580510656,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"ITLN2","142683"
"ENSG00000188710.3",0.0497192580510656,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"QRFP","347148"
"ENSG00000223417.8",0.0497192580510656,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"TRIM49D1","399939"
"ENSG00000229453.2",0.0497192580510656,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"SPINK8","646424"
"ENSG00000230268.3",0.0497192580510655,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"SSU72L6","136157"
"ENSG00000257115.1",0.0497192580510655,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"OR11H12","440153"
"ENSG00000262655.4",0.0497192580510656,0.119123439500175,1.02927860571408,0.0492835754557124,0.824314627684779,NA,"SPON1","10418"
"ENSG00000233412.5",0.0497192580510655,0.119123439500175,1.02927860571408,0.0492835754557106,0.824314627684783,NA,"OR5H15","403274"
"ENSG00000116685.16",162.953256673085,0.00487490806548944,0.0222455259343557,0.0492711605025988,0.824336396307594,0.915475161127532,"KIAA2013","90231"
"ENSG00000128040.11",0.536732412320408,0.0586037576734219,0.259168449615651,0.0492401401287736,0.824390800621943,NA,"SPINK2","6691"
"ENSG00000074266.21",301.794047209147,0.00517361092769787,0.0228604591336048,0.0491823946132399,0.824492124075067,0.915577169700342,"EED","8726"
"ENSG00000067955.15",265.042883086075,-0.0068380077064338,0.0306765782721238,0.0490730051732839,0.82468423602232,0.915693493668821,"CBFB","865"
"ENSG00000196422.11",161.588018488012,-0.00873941628991968,0.0392554594164169,0.0490500146843829,0.824724640942129,0.915693493668821,"PPP1R26","9858"
"ENSG00000183032.12",14.4379790198945,-0.0183964875857934,0.0800459201041432,0.0489811281441916,0.824845765954785,0.915757045093012,"SLC25A21","89874"
"ENSG00000159496.14",0.0960161217809869,0.193983028214829,1.02835935905836,0.0489570851591736,0.824888062398945,NA,"RGL4","266747"
"ENSG00000135341.18",443.999284329736,-0.00545643554045737,0.0249482564748927,0.04892730387337,0.824940468775562,0.91579125460261,"MAP3K7","6885"
"ENSG00000116560.11",2046.89460934277,-0.00443951040907747,0.0202529085294758,0.0488825109497384,0.825019322770582,0.915807865917566,"SFPQ","6421"
"ENSG00000085831.15",557.562504807661,-0.00636459460766408,0.0292170401495364,0.048807645873751,0.825151200781729,0.915883329100613,"TTC39A","22996"
"ENSG00000186529.16",4.02995051263444,-0.0449192241880514,0.193890358990018,0.0487648762715764,0.825226588867761,0.915896083997715,"CYP4F3","4051"
"ENSG00000159784.17",0.764465100840827,-0.0544036925484091,0.26519522592019,0.0487642357994673,0.825227718063061,NA,"FAM131B","9715"
